feature,frequency,rank,docfreq,group
will,29071,1,29071,all
ensure,2076,2,2076,all
continue,1610,3,1610,all
make,1458,4,1458,all
work,1183,5,1183,all
give,1141,6,1141,all
support,1090,7,1090,all
can,1051,8,1051,all
help,1049,9,1049,all
introduce,973,10,973,all
provide,964,11,964,all
take,906,12,906,all
encourage,858,13,858,all
including,797,14,797,all
increase,760,15,760,all
improve,735,16,735,all
set,668,17,668,all
reduce,629,18,629,all
promote,627,19,627,all
create,614,20,614,all
protect,563,21,563,all
need,561,22,561,all
establish,552,23,552,all
seek,551,24,551,all
bring,538,25,538,all
build,501,26,501,all
develop,472,27,472,all
working,446,28,446,all
get,444,29,444,all
use,429,30,429,all
allow,416,31,416,all
extend,412,32,412,all
deliver,399,33,399,all
pay,394,34,394,all
made,392,35,392,all
paid,374,36,374,all
put,370,37,370,all
keep,358,38,358,all
based,349,39,349,all
enable,348,40,348,all
end,346,41,346,all
strengthen,340,42,340,all
tackle,339,43,339,all
cut,334,44,334,all
existing,333,45,333,all
invest,328,46,328,all
maintain,323,47,323,all
require,309,48,309,all
want,308,49,308,all
given,304,50,304,all
raise,295,51,295,all
receive,285,52,285,all
meet,282,53,282,all
making,264,54,264,all
see,257,55,257,all
reform,252,56,252,all
include,249,57,249,all
press,248,58,248,all
achieve,248,58,248,all
review,239,60,239,all
restore,237,61,237,all
ensuring,234,62,234,all
increased,233,63,233,all
abolish,233,63,233,all
giving,229,65,229,all
increasing,228,66,228,all
must,223,67,223,all
prevent,222,68,222,all
believe,220,69,220,all
become,219,70,219,all
go,218,71,218,all
remain,213,72,213,all
expand,209,73,209,all
providing,204,74,204,all
implement,204,74,204,all
benefit,201,76,201,all
stop,198,77,198,all
offer,197,78,197,all
used,192,79,192,all
elected,189,80,189,all
replace,187,81,187,all
fight,183,82,183,all
come,182,83,182,all
reducing,182,83,182,all
buy,181,85,181,all
oppose,181,85,181,all
remove,179,87,179,all
required,176,88,176,all
needed,175,89,175,all
guarantee,173,90,173,all
helping,169,91,169,all
funded,169,91,169,all
secure,166,93,166,all
taken,166,93,166,all
developing,164,95,164,all
building,164,95,164,all
using,162,97,162,all
lead,156,98,156,all
improving,153,99,153,all
provided,149,100,149,all
save,148,101,148,all
act,147,102,147,all
vote,146,103,146,all
mean,146,103,146,all
stand,145,105,145,all
start,145,105,145,all
play,144,107,144,all
legislate,144,107,144,all
introducing,144,107,144,all
taking,142,110,142,all
find,141,111,141,all
consider,139,112,139,all
creating,138,113,138,all
-,137,114,137,all
apply,137,114,137,all
leave,137,114,137,all
spend,136,117,136,all
live,134,118,134,all
fund,134,118,134,all
done,133,120,133,all
campaign,133,120,133,all
retain,131,122,131,all
shall,129,123,129,all
change,127,124,127,all
publish,125,125,125,all
run,121,126,121,all
supporting,120,127,120,all
spent,119,128,119,all
choose,117,129,117,all
move,116,130,116,all
wish,115,131,115,all
hold,114,132,114,all
introduced,114,132,114,all
carry,114,132,114,all
bringing,113,135,113,all
open,112,136,112,all
aim,112,136,112,all
leading,112,136,112,all
know,111,139,111,all
following,111,139,111,all
safeguard,110,141,110,all
reverse,110,141,110,all
established,109,143,109,all
look,108,144,108,all
protecting,108,144,108,all
built,107,146,107,all
promised,107,146,107,all
deal,107,146,107,all
protected,106,149,106,all
tackling,106,149,106,all
back,106,149,106,all
insist,105,152,105,all
living,105,152,105,all
examine,103,154,103,all
growing,102,155,102,all
allowing,101,156,101,all
consult,100,157,100,all
cutting,100,157,100,all
rise,99,159,99,all
assist,98,160,98,all
pursue,98,160,98,all
designed,97,162,97,all
return,96,163,96,all
encouraging,96,163,96,all
boost,96,163,96,all
address,96,163,96,all
pass,95,167,95,all
proposed,95,167,95,all
setting,95,167,95,all
improved,95,167,95,all
push,94,171,94,all
focus,93,172,93,all
leaving,92,173,92,all
recognise,91,174,91,all
means,90,175,90,all
extending,90,175,90,all
continuing,90,175,90,all
grow,90,175,90,all
led,89,179,89,all
modernise,89,179,89,all
produce,88,181,88,all
promoting,88,181,88,all
call,88,181,88,all
saving,88,181,88,all
enhance,88,181,88,all
brought,87,186,87,all
reach,87,186,87,all
needs,87,186,87,all
cover,87,186,87,all
re,86,190,86,all
scrap,86,190,86,all
ending,85,192,85,all
face,84,193,84,all
may,83,194,83,all
raising,83,194,83,all
stay,83,194,83,all
transform,83,194,83,all
according,82,198,82,all
held,81,199,81,all
raised,81,199,81,all
