"","countryname","class_inductive","date","n_articles_day","cycle","quarter","priorelecdate","elecdate","gov_type","gov_type_aus_single","gov_type_maj_min","log_gdp_change_lag","poll_change_to_election","country_cycle","electoral_cycle","electoral_cycle_alt","days_cycle","n_articles_cycle","n_articles_prop","n_articles_day_lag"
"1","Australia","Ongoing",1996-03-03,20,38,1996-01-01,1996-03-02,1998-10-03,"Multiparty Government","Single-party Government","Majority Government",0.0269953251652402,5.75,"Australia: 38",0.00105820105820106,0.00105820105820106,945,4187,0.00477668975400048,NA
"2","Australia","Ongoing",1996-03-04,66,38,1996-01-01,1996-03-02,1998-10-03,"Multiparty Government","Single-party Government","Majority Government",0.0269953251652402,5.75,"Australia: 38",0.00211640211640212,0.00211640211640212,945,4187,0.0157630761882016,20
"3","Australia","Ongoing",1996-03-05,32,38,1996-01-01,1996-03-02,1998-10-03,"Multiparty Government","Single-party Government","Majority Government",0.0269953251652402,5.75,"Australia: 38",0.00317460317460317,0.00317460317460317,945,4187,0.00764270360640076,66
"4","Australia","Ongoing",1996-03-06,20,38,1996-01-01,1996-03-02,1998-10-03,"Multiparty Government","Single-party Government","Majority Government",0.0269953251652402,5.75,"Australia: 38",0.00423280423280423,0.00423280423280423,945,4187,0.00477668975400048,32
"5","Australia","Ongoing",1996-03-07,20,38,1996-01-01,1996-03-02,1998-10-03,"Multiparty Government","Single-party Government","Majority Government",0.0269953251652402,5.75,"Australia: 38",0.00529100529100529,0.00529100529100529,945,4187,0.00477668975400048,20
"6","Australia","Ongoing",1996-03-08,15,38,1996-01-01,1996-03-02,1998-10-03,"Multiparty Government","Single-party Government","Majority Government",0.0269953251652402,5.75,"Australia: 38",0.00634920634920635,0.00634920634920635,945,4187,0.00358251731550036,20
"7","Australia","Ongoing",1996-03-09,23,38,1996-01-01,1996-03-02,1998-10-03,"Multiparty Government","Single-party Government","Majority Government",0.0269953251652402,5.75,"Australia: 38",0.00740740740740741,0.00740740740740741,945,4187,0.00549319321710055,15
"8","Australia","Ongoing",1996-03-10,8,38,1996-01-01,1996-03-02,1998-10-03,"Multiparty Government","Single-party Government","Majority Government",0.0269953251652402,5.75,"Australia: 38",0.00846560846560847,0.00846560846560847,945,4187,0.00191067590160019,23
"9","Australia","Ongoing",1996-03-11,17,38,1996-01-01,1996-03-02,1998-10-03,"Multiparty Government","Single-party Government","Majority Government",0.0269953251652402,5.75,"Australia: 38",0.00952380952380952,0.00952380952380952,945,4187,0.00406018629090041,8
"10","Australia","Ongoing",1996-03-12,10,38,1996-01-01,1996-03-02,1998-10-03,"Multiparty Government","Single-party Government","Majority Government",0.0269953251652402,5.75,"Australia: 38",0.0105820105820106,0.0105820105820106,945,4187,0.00238834487700024,17
"11","Australia","Ongoing",1996-03-13,16,38,1996-01-01,1996-03-02,1998-10-03,"Multiparty Government","Single-party Government","Majority Government",0.0269953251652402,5.75,"Australia: 38",0.0116402116402116,0.0116402116402116,945,4187,0.00382135180320038,10
"12","Australia","Ongoing",1996-03-14,3,38,1996-01-01,1996-03-02,1998-10-03,"Multiparty Government","Single-party Government","Majority Government",0.0269953251652402,5.75,"Australia: 38",0.0126984126984127,0.0126984126984127,945,4187,0.000716503463100072,16
"13","Australia","Ongoing",1996-03-15,2,38,1996-01-01,1996-03-02,1998-10-03,"Multiparty Government","Single-party Government","Majority Government",0.0269953251652402,5.75,"Australia: 38",0.0137566137566138,0.0137566137566138,945,4187,0.000477668975400048,3
"14","Australia","Ongoing",1996-03-16,13,38,1996-01-01,1996-03-02,1998-10-03,"Multiparty Government","Single-party Government","Majority Government",0.0269953251652402,5.75,"Australia: 38",0.0148148148148148,0.0148148148148148,945,4187,0.00310484834010031,2
"15","Australia","Ongoing",1996-03-17,12,38,1996-01-01,1996-03-02,1998-10-03,"Multiparty Government","Single-party Government","Majority Government",0.0269953251652402,5.75,"Australia: 38",0.0158730158730159,0.0158730158730159,945,4187,0.00286601385240029,13
"16","Australia","Ongoing",1996-03-18,22,38,1996-01-01,1996-03-02,1998-10-03,"Multiparty Government","Single-party Government","Majority Government",0.0269953251652402,5.75,"Australia: 38",0.0169312169312169,0.0169312169312169,945,4187,0.00525435872940053,12
"17","Australia","Ongoing",1996-03-19,6,38,1996-01-01,1996-03-02,1998-10-03,"Multiparty Government","Single-party Government","Majority Government",0.0269953251652402,5.75,"Australia: 38",0.017989417989418,0.017989417989418,945,4187,0.00143300692620014,22
"18","Australia","Ongoing",1996-03-20,39,38,1996-01-01,1996-03-02,1998-10-03,"Multiparty Government","Single-party Government","Majority Government",0.0269953251652402,5.75,"Australia: 38",0.019047619047619,0.019047619047619,945,4187,0.00931454502030093,6
"19","Australia","Ongoing",1996-03-21,5,38,1996-01-01,1996-03-02,1998-10-03,"Multiparty Government","Single-party Government","Majority Government",0.0269953251652402,5.75,"Australia: 38",0.0201058201058201,0.0201058201058201,945,4187,0.00119417243850012,39
"20","Australia","Ongoing",1996-03-22,7,38,1996-01-01,1996-03-02,1998-10-03,"Multiparty Government","Single-party Government","Majority Government",0.0269953251652402,5.75,"Australia: 38",0.0211640211640212,0.0211640211640212,945,4187,0.00167184141390017,5
"21","Australia","Ongoing",1996-03-23,14,38,1996-01-01,1996-03-02,1998-10-03,"Multiparty Government","Single-party Government","Majority Government",0.0269953251652402,5.75,"Australia: 38",0.0222222222222222,0.0222222222222222,945,4187,0.00334368282780033,7
"22","Australia","Ongoing",1996-03-24,10,38,1996-01-01,1996-03-02,1998-10-03,"Multiparty Government","Single-party Government","Majority Government",0.0269953251652402,5.75,"Australia: 38",0.0232804232804233,0.0232804232804233,945,4187,0.00238834487700024,14
"23","Australia","Ongoing",1996-03-25,10,38,1996-01-01,1996-03-02,1998-10-03,"Multiparty Government","Single-party Government","Majority Government",0.0269953251652402,5.75,"Australia: 38",0.0243386243386243,0.0243386243386243,945,4187,0.00238834487700024,10
"24","Australia","Ongoing",1996-03-26,15,38,1996-01-01,1996-03-02,1998-10-03,"Multiparty Government","Single-party Government","Majority Government",0.0269953251652402,5.75,"Australia: 38",0.0253968253968254,0.0253968253968254,945,4187,0.00358251731550036,10
"25","Australia","Ongoing",1996-03-27,8,38,1996-01-01,1996-03-02,1998-10-03,"Multiparty Government","Single-party Government","Majority Government",0.0269953251652402,5.75,"Australia: 38",0.0264550264550265,0.0264550264550265,945,4187,0.00191067590160019,15
"26","Australia","Ongoing",1996-03-28,4,38,1996-01-01,1996-03-02,1998-10-03,"Multiparty Government","Single-party Government","Majority Government",0.0269953251652402,5.75,"Australia: 38",0.0275132275132275,0.0275132275132275,945,4187,0.000955337950800096,8
"27","Australia","Ongoing",1996-03-29,7,38,1996-01-01,1996-03-02,1998-10-03,"Multiparty Government","Single-party Government","Majority Government",0.0269953251652402,5.75,"Australia: 38",0.0285714285714286,0.0285714285714286,945,4187,0.00167184141390017,4
"28","Australia","Ongoing",1996-03-30,17,38,1996-01-01,1996-03-02,1998-10-03,"Multiparty Government","Single-party Government","Majority Government",0.0269953251652402,5.75,"Australia: 38",0.0296296296296296,0.0296296296296296,945,4187,0.00406018629090041,7
"29","Australia","Ongoing",1996-03-31,16,38,1996-01-01,1996-03-02,1998-10-03,"Multiparty Government","Single-party Government","Majority Government",0.0269953251652402,5.75,"Australia: 38",0.0306878306878307,0.0306878306878307,945,4187,0.00382135180320038,17
"30","Australia","Ongoing",1996-04-01,3,38,1996-04-01,1996-03-02,1998-10-03,"Multiparty Government","Single-party Government","Majority Government",0.298326716669076,3.75,"Australia: 38",0.0317460317460317,0.0317460317460317,945,4187,0.000716503463100072,16
"31","Australia","Ongoing",1996-04-02,6,38,1996-04-01,1996-03-02,1998-10-03,"Multiparty Government","Single-party Government","Majority Government",0.298326716669076,3.75,"Australia: 38",0.0328042328042328,0.0328042328042328,945,4187,0.00143300692620014,3
"32","Australia","Ongoing",1996-04-03,7,38,1996-04-01,1996-03-02,1998-10-03,"Multiparty Government","Single-party Government","Majority Government",0.298326716669076,3.75,"Australia: 38",0.0338624338624339,0.0338624338624339,945,4187,0.00167184141390017,6
"33","Australia","Ongoing",1996-04-04,4,38,1996-04-01,1996-03-02,1998-10-03,"Multiparty Government","Single-party Government","Majority Government",0.298326716669076,3.75,"Australia: 38",0.0349206349206349,0.0349206349206349,945,4187,0.000955337950800096,7
"34","Australia","Ongoing",1996-04-05,1,38,1996-04-01,1996-03-02,1998-10-03,"Multiparty Government","Single-party Government","Majority Government",0.298326716669076,3.75,"Australia: 38",0.035978835978836,0.035978835978836,945,4187,0.000238834487700024,4
"35","Australia","Ongoing",1996-04-06,4,38,1996-04-01,1996-03-02,1998-10-03,"Multiparty Government","Single-party Government","Majority Government",0.298326716669076,3.75,"Australia: 38",0.037037037037037,0.037037037037037,945,4187,0.000955337950800096,1
"36","Australia","Ongoing",1996-04-07,1,38,1996-04-01,1996-03-02,1998-10-03,"Multiparty Government","Single-party Government","Majority Government",0.298326716669076,3.75,"Australia: 38",0.0380952380952381,0.0380952380952381,945,4187,0.000238834487700024,4
"37","Australia","Ongoing",1996-04-08,1,38,1996-04-01,1996-03-02,1998-10-03,"Multiparty Government","Single-party Government","Majority Government",0.298326716669076,3.75,"Australia: 38",0.0391534391534392,0.0391534391534392,945,4187,0.000238834487700024,1
"38","Australia","Ongoing",1996-04-09,1,38,1996-04-01,1996-03-02,1998-10-03,"Multiparty Government","Single-party Government","Majority Government",0.298326716669076,3.75,"Australia: 38",0.0402116402116402,0.0402116402116402,945,4187,0.000238834487700024,1
"39","Australia","Ongoing",1996-04-10,0,38,1996-04-01,1996-03-02,1998-10-03,"Multiparty Government","Single-party Government","Majority Government",0.298326716669076,3.75,"Australia: 38",0.0412698412698413,0.0412698412698413,945,4187,0,1
"40","Australia","Ongoing",1996-04-11,0,38,1996-04-01,1996-03-02,1998-10-03,"Multiparty Government","Single-party Government","Majority Government",0.298326716669076,3.75,"Australia: 38",0.0423280423280423,0.0423280423280423,945,4187,0,0
"41","Australia","Ongoing",1996-04-12,0,38,1996-04-01,1996-03-02,1998-10-03,"Multiparty Government","Single-party Government","Majority Government",0.298326716669076,3.75,"Australia: 38",0.0433862433862434,0.0433862433862434,945,4187,0,0
"42","Australia","Ongoing",1996-04-13,0,38,1996-04-01,1996-03-02,1998-10-03,"Multiparty Government","Single-party Government","Majority Government",0.298326716669076,3.75,"Australia: 38",0.0444444444444444,0.0444444444444444,945,4187,0,0
"43","Australia","Ongoing",1996-04-14,3,38,1996-04-01,1996-03-02,1998-10-03,"Multiparty Government","Single-party Government","Majority Government",0.298326716669076,3.75,"Australia: 38",0.0455026455026455,0.0455026455026455,945,4187,0.000716503463100072,0
"44","Australia","Ongoing",1996-04-15,3,38,1996-04-01,1996-03-02,1998-10-03,"Multiparty Government","Single-party Government","Majority Government",0.298326716669076,3.75,"Australia: 38",0.0465608465608466,0.0465608465608466,945,4187,0.000716503463100072,3
"45","Australia","Ongoing",1996-04-16,1,38,1996-04-01,1996-03-02,1998-10-03,"Multiparty Government","Single-party Government","Majority Government",0.298326716669076,3.75,"Australia: 38",0.0476190476190476,0.0476190476190476,945,4187,0.000238834487700024,3
"46","Australia","Ongoing",1996-04-17,0,38,1996-04-01,1996-03-02,1998-10-03,"Multiparty Government","Single-party Government","Majority Government",0.298326716669076,3.75,"Australia: 38",0.0486772486772487,0.0486772486772487,945,4187,0,1
"47","Australia","Ongoing",1996-04-18,0,38,1996-04-01,1996-03-02,1998-10-03,"Multiparty Government","Single-party Government","Majority Government",0.298326716669076,3.75,"Australia: 38",0.0497354497354497,0.0497354497354497,945,4187,0,0
"48","Australia","Ongoing",1996-04-19,1,38,1996-04-01,1996-03-02,1998-10-03,"Multiparty Government","Single-party Government","Majority Government",0.298326716669076,3.75,"Australia: 38",0.0507936507936508,0.0507936507936508,945,4187,0.000238834487700024,0
